Number of Vertices,Edge Probability,Average Edges,Average Opperations,Differance of Expected and Counted as a Ratio
80,0.30000000000000004,1919.577,2798.577,1.3995845121243145
90,0.30000000000000004,2429.7578,3418.7578,1.3567803222992305
100,0.30000000000000004,3000.1908,4099.1908,1.3222382312727334
110,0.30000000000000004,3629.7696,4838.7696,1.293868370928519
120,0.30000000000000004,4319.6253,5638.6253,1.2700678365807132
130,0.30000000000000004,5069.6978,6498.6978,1.2498222108215598
140,0.30000000000000004,5880.3412,7419.3412,1.232378855869498
150,0.30000000000000004,6749.4804,8398.4804,1.217262737640359
160,0.30000000000000004,7681.5972,9440.5972,1.203912539654549
170,0.30000000000000004,8670.7833,10539.7833,1.19217754155336
180,0.30000000000000004,9720.2044,11699.2044,1.1817134199774704
190,0.30000000000000004,10829.4011,12918.4011,1.1723324146899416
200,0.30000000000000004,12000.7611,14199.7611,1.1638422376781068
210,0.30000000000000004,13230.4057,15539.4057,1.1561708810620204
220,0.30000000000000004,14519.1657,16938.1657,1.1491943332993402
230,0.30000000000000004,15870.7834,18399.7834,1.1427880832183606
240,0.30000000000000004,17278.1958,19917.1958,1.1369433260929758
250,0.30000000000000004,18750.3877,21499.3877,1.131523632015151
260,0.30000000000000004,20278.5731,23137.5731,1.1265423838036732
270,0.30000000000000004,21873.1101,24842.1101,1.1218889301372348
280,0.30000000000000004,23521.2611,26600.2611,1.1175988107621744
290,0.30000000000000004,25232.5241,28421.5241,1.1135859442679497
300,0.30000000000000004,26998.843,30297.843,1.1098581357458996
310,0.30000000000000004,28830.1236,32239.1236,1.1063482105477411
320,0.30000000000000004,30720.3096,34239.3096,1.1030595390710922
330,0.30000000000000004,32670.9951,36299.9951,1.0999666825198249
340,0.30000000000000004,34677.4237,38416.4237,1.09706596433592
350,0.30000000000000004,36749.4561,40598.4561,1.094314051143192
360,0.30000000000000004,38878.204,42837.204,1.0917218331399674
370,0.30000000000000004,41071.2666,45140.2666,1.089258854843978
380,0.30000000000000004,43321.1021,47500.1021,1.0869314460607162
390,0.30000000000000004,45629.6037,49918.6037,1.0847247626341467
400,0.30000000000000004,48001.3602,52400.3602,1.0826216450007948
410,0.30000000000000004,50433.1361,54942.1361,1.0806205186072304
420,0.30000000000000004,52918.5451,57537.5451,1.0787235570847995
430,0.30000000000000004,55472.7667,60201.7667,1.0769013816985198
440,0.30000000000000004,58083.0925,62922.0925,1.0751669095408791
450,0.30000000000000004,60747.4976,65696.4976,1.073516077886165
460,0.30000000000000004,63481.4518,68540.4518,1.0719251732723403
470,0.30000000000000004,66266.712,71435.712,1.0704110205489297
480,0.30000000000000004,69121.4844,74400.4844,1.0689496788950668
490,0.30000000000000004,72030.0736,77419.0736,1.0675537097083145
500,0.30000000000000004,75001.996,80500.996,1.0662101701258335
10,0.4,40.0365,148.9351,2.9765291337323756
20,0.4,159.8565,378.8554,2.106431516236555
30,0.4,359.7117,688.7117,1.767233829520643
40,0.4,639.7823,1078.7823,1.5869526170363661
50,0.4,999.87,1548.87,1.4752969415260937
60,0.4,1440.0293,2099.0293,1.3993255331745855
70,0.4,1959.595,2728.595,1.3444036864497595
80,0.4,2559.5787,3438.5787,1.3026998209979495
90,0.4,3240.3912,4229.3912,1.2699382583043097
100,0.4,4000.0038,5099.0038,1.243658310755712
110,0.4,4840.7419,6049.7419,1.2219869308880755
120,0.4,5760.1473,7079.1473,1.2039064565610458
130,0.4,6759.687,8188.687,1.1885426725481143
140,0.4,7839.7964,9378.7964,1.1753177562274646
150,0.4,8999.2397,10648.2397,1.1638387504483023
160,0.4,10240.5595,11999.5595,1.1537417289906375
170,0.4,11559.5547,13428.5547,1.1448477835224213
180,0.4,12958.6239,14937.6239,1.1369245374319605
190,0.4,14440.7453,16529.7453,1.1297951649804197
200,0.4,15999.3844,18198.3844,1.12339975091893
210,0.4,17639.866,19948.866,1.1175919191774324
220,0.4,19360.001,21779.001,1.1123084723029382
230,0.4,21160.7513,23689.7513,1.1074763559146237
240,0.4,23041.2078,25680.2078,1.1030444820822398
250,0.4,24998.5584,27747.5584,1.0989759478703545
260,0.4,27040.062,29899.062,1.0952012489935004
270,0.4,29159.0021,32128.0021,1.0917122500732024
280,0.4,31356.5203,34435.5203,1.088473699808256
290,0.4,33638.6902,36827.6902,1.0854439114186611
300,0.4,35999.9255,39298.9255,1.0826172494486248
310,0.4,38438.1986,41847.1986,1.0799779115408994
320,0.4,40959.4806,44478.4806,1.077496130123304
330,0.4,43560.5108,47189.5108,1.0751643109152422
340,0.4,46241.568,49980.568,1.0729687759759396
350,0.4,49001.2075,52850.2075,1.0708999876041534
360,0.4,51843.884,55802.884,1.068941230503079
370,0.4,54762.3611,58831.3611,1.0670930815622188
380,0.4,57762.8203,61941.8203,1.0653391077419063
390,0.4,60841.3807,65130.3807,1.0636764997853463
400,0.4,64000.6618,68399.6618,1.0620956351724944
410,0.4,67241.2733,71750.2733,1.0605901382199114
420,0.4,70560.4799,75179.4799,1.0591571091927767
430,0.4,73960.4248,78689.4248,1.0577896955361923
440,0.4,77442.2183,82281.2183,1.0564827260447973
450,0.4,81000.3467,85949.3467,1.0552361061957272
460,0.4,84642.5833,89701.5833,1.0540406627115866
470,0.4,88362.3565,93531.3565,1.0528973921793914
480,0.4,92157.0733,97436.0733,1.051804313640811
490,0.4,96041.5017,101430.5017,1.0507502723331197
500,0.4,99999.4722,105498.4722,1.0497415547621154
10,0.5,50.015,158.9943,2.6492426893276684
20,0.5,199.9819,418.9819,1.9046198800901346
30,0.5,449.8238,778.8238,1.6231454129620082
40,0.5,799.9844,1238.9844,1.4750088215924009
50,0.5,1249.8545,1798.8545,1.3838891198976502
60,0.5,1799.7169,2458.7169,1.3220920345456881
70,0.5,2450.2221,3219.2221,1.2773565075871687
80,0.5,3200.014,4079.014,1.2435965212343605
90,0.5,4049.761,5038.761,1.2171622951180032
100,0.5,5000.7605,6099.7605,1.1958531477806102
110,0.5,6050.0555,7259.0555,1.1784074835040041
120,0.5,7200.0651,8519.0651,1.163796357494143
130,0.5,8449.3296,9878.3296,1.1514104318826963
140,0.5,9801.4836,11340.4836,1.1407234630452943
150,0.5,11250.6397,12899.6397,1.1314838499808042
160,0.5,12800.7608,14559.7608,1.1233723872135655
170,0.5,14449.5208,16318.5208,1.1162144794786981
180,0.5,16200.3122,18179.3122,1.1098269665458513
190,0.5,18049.4101,20138.4101,1.1041152092961604
200,0.5,19999.5261,22198.5261,1.0989627177441554
210,0.5,22051.6454,24360.6454,1.0942877295134708
220,0.5,24200.0956,26619.0956,1.0900487875239933
230,0.5,26449.3013,28978.3013,1.0861716719695353
240,0.5,28798.6915,31437.6915,1.0826139152998682
250,0.5,31248.1768,33997.1768,1.07933792536208
260,0.5,33801.5706,36660.5706,1.076302999369031
270,0.5,36449.3235,39418.3235,1.0735035328197156
280,0.5,39200.2566,42279.2566,1.0708961957455971
290,0.5,42050.5912,45239.5912,1.0684685763197375
300,0.5,44999.4339,48298.4339,1.066203917837481
310,0.5,48048.7321,51457.7321,1.0640835659957264
320,0.5,51203.4592,54722.4592,1.0620882225236927
330,0.5,54447.6734,58076.6734,1.0602252668876586
340,0.5,57800.7294,61539.7294,1.0584615988666974
350,0.5,61249.5854,65098.5854,1.0568023303611391
360,0.5,64801.0511,68760.0511,1.055232380989017
370,0.5,68449.8494,72518.8494,1.053749027820453
380,0.5,72200.3912,76379.3912,1.052341960923462
390,0.5,76050.2805,80339.2805,1.051007138834348
400,0.5,79999.6726,84398.6726,1.0497390085143208
410,0.5,84049.8816,88558.8816,1.0485319174304881
420,0.5,88197.8158,92816.8158,1.047383248640168
430,0.5,92450.9339,97179.9339,1.0462850643236266
440,0.5,96803.1034,101642.1034,1.0452371412078978
450,0.5,101247.7494,106196.7494,1.0442389337673976
460,0.5,105795.1916,110854.1916,1.0432825910032992
470,0.5,110448.831,115617.831,1.0423643123321413
480,0.5,115199.201,120478.201,1.0414854179361077
490,0.5,120049.5271,125438.5271,1.0406422699496387
500,0.5,125004.3401,130503.3401,1.0398312918582486
10,0.6,59.9871,168.9843,2.414506387605716
20,0.6,240.1327,459.1327,1.7649941741272819
30,0.6,540.1043,869.1043,1.524465435535217
40,0.6,959.9057,1398.9057,1.399037629248438
50,0.6,1499.9085,2048.9085,1.3219544895714812
60,0.6,2159.5684,2818.5684,1.2698722868824408
70,0.6,2939.8674,3708.8674,1.2322361443563925
80,0.6,3840.1388,4719.1388,1.203819313744707
90,0.6,4860.6548,5849.6548,1.181592140094276
100,0.6,6000.2669,7099.2669,1.1637633264865836
110,0.6,7259.9266,8468.9266,1.1491195312582898
120,0.6,8639.7906,9958.7906,1.1368754180037135
130,0.6,10141.5348,11570.5348,1.126466007786879
140,0.6,11760.8768,13299.8768,1.1175543637255365
150,0.6,13500.3979,15149.3979,1.109813648728877
160,0.6,15359.4861,17118.4861,1.1030317621148549
170,0.6,17340.5439,19209.5439,1.0970272545331958
180,0.6,19440.2121,21419.2121,1.0916911596485748
190,0.6,21660.5904,23749.5904,1.0869084068318813
200,0.6,24000.5047,26199.5047,1.0826015830983888
210,0.6,26461.7458,28770.7458,1.0786975106818841
220,0.6,29042.3117,31461.3117,1.0751478564832593
230,0.6,31740.129,34269.129,1.07191087655605
240,0.6,34560.7228,37199.7228,1.0689353498140561
250,0.6,37500.3835,40249.3835,1.066198002995122
260,0.6,40561.5929,43420.5929,1.0636672852616684
270,0.6,43739.2905,46708.2905,1.0613279598315724
280,0.6,47038.2908,50117.2908,1.0591526015136625
290,0.6,50460.943,53649.943,1.0571220913077417
300,0.6,53999.1842,57298.1842,1.0552310323660443
310,0.6,57661.4643,61070.4643,1.053457335215181
320,0.6,61441.4386,64960.4386,1.0517960732864147
330,0.6,65339.4122,68968.4122,1.050236478285396
340,0.6,69359.4181,73098.4181,1.048766547736788
350,0.6,73501.9565,77350.9565,1.0473785687722437
360,0.6,77760.7139,81719.7139,1.0460697274810746
370,0.6,82141.0423,86210.0423,1.0448303632688445
380,0.6,86642.0313,90821.0313,1.0436556116106197
390,0.6,91261.446,95550.446,1.0425416092180368
400,0.6,96001.3955,100400.3955,1.0414828019787328
410,0.6,100860.221,105369.221,1.0404758670369645
420,0.6,105840.0032,110459.0032,1.0395162796306032
430,0.6,110941.1393,115670.1393,1.0386006646517263
440,0.6,116160.1941,120999.1941,1.037727209924087
450,0.6,121500.3816,126449.3816,1.0368920534808723
460,0.6,126958.3766,132017.3766,1.036093694824236
470,0.6,132537.7332,137706.7332,1.0353287728987475
480,0.6,138240.2266,143519.2266,1.0345948108478653
490,0.6,144061.0796,149450.0796,1.033891133940725
500,0.6,149999.0015,155498.0015,1.0332161672182256
10,0.7,70.0375,179.0372,2.2369164454162114
20,0.7,279.9473,498.9473,1.6634498793621413
30,0.7,630.1323,959.1323,1.4529395092468587
40,0.7,1120.3174,1559.3174,1.343871426904397
50,0.7,1750.2695,2299.2695,1.277180722108551
60,0.7,2520.0923,3179.0923,1.232162236986638
70,0.7,3429.6209,4198.6209,1.1997359199677886
80,0.7,4479.8282,5358.8282,1.1752258999582483
90,0.7,5670.1816,6659.1816,1.1560714683023188
100,0.7,6999.1413,8098.1413,1.1407212446947632
110,0.7,8470.6924,9679.6924,1.1280782422639926
120,0.7,10080.5746,11399.5746,1.1175423980527528
130,0.7,11829.8257,13258.8257,1.1086136230229509
140,0.7,13720.0386,15259.0386,1.1009376698272688
150,0.7,15750.991,17399.991,1.094270853936085
160,0.7,17920.2584,19679.2584,1.0884390015133854
170,0.7,20229.2113,22098.2113,1.0832875337685237
180,0.7,22680.5292,24659.5292,1.0786945911995773
190,0.7,25269.6717,27358.6717,1.0745885501736459
200,0.7,28001.7283,30200.7283,1.0708821806499
210,0.7,30869.87,33178.87,1.0675356750205198
220,0.7,33879.8903,36298.8903,1.0644870109743432
230,0.7,37031.4966,39560.4966,1.0616990783993363
240,0.7,40319.6881,42958.6881,1.059147397634944
250,0.7,43749.5892,46498.5892,1.0567959848134219
260,0.7,47321.1023,50180.1023,1.0546225260527433
270,0.7,51027.8668,53996.8668,1.052614273621218
280,0.7,54879.267,57958.267,1.0507439665577862
290,0.7,58872.3321,62061.3321,1.0490007729090178
300,0.7,62999.0712,66298.0712,1.0473782623211698
310,0.7,67269.2156,70678.2156,1.045857294620626
320,0.7,71679.847,75198.847,1.0444306499706868
330,0.7,76229.4594,79858.4594,1.043090690893776
340,0.7,80923.5541,84662.5541,1.0418268686084946
350,0.7,85750.1389,89599.1389,1.0406387265421706
360,0.7,90720.0994,94679.0994,1.0395146692165336
370,0.7,95828.2031,99897.2031,1.0384518616855536
380,0.7,101080.4558,105259.4558,1.0374431592096198
390,0.7,106467.0128,110756.0128,1.036488012324447
400,0.7,111999.7647,116398.7647,1.035578366295281
410,0.7,117671.231,122180.231,1.0347133914957238
420,0.7,123481.4417,128100.4417,1.0338898397176601
430,0.7,129430.6143,134159.6143,1.0331047255796015
440,0.7,135518.9445,140357.9445,1.0323553556272276
450,0.7,141747.7223,146696.7223,1.0316390440523955
460,0.7,148118.2306,153177.2306,1.0309533905567994
470,0.7,154628.8985,159797.8985,1.0302967980136881
480,0.7,161283.1559,166562.1559,1.0296668297134774
490,0.7,168068.3661,173457.3661,1.0290641165630046
500,0.7,175001.5227,180500.5227,1.0284840833463607
10,0.7999999999999999,80.0103,189.0102,2.0998730145327813
20,0.7999999999999999,319.9731,538.9731,1.5853404284044827
30,0.7999999999999999,720.0069,1049.0069,1.3986629989670762
40,0.7999999999999999,1279.9695,1718.9695,1.3022797117660674
50,0.7999999999999999,1999.8977,2548.8977,1.243426781736474
60,0.7999999999999999,2879.9617,3538.9617,1.2037441508166586
70,0.7999999999999999,3919.7372,4688.7372,1.1751995093812193
80,0.7999999999999999,5120.1061,5999.1061,1.1536507110883756
90,0.7999999999999999,6479.6268,7468.6268,1.1368418674862932
100,0.7999999999999999,8000.7638,9099.7638,1.123321704553341
110,0.7999999999999999,9680.0247,10889.0247,1.1122571222930622
120,0.7999999999999999,11521.3617,12840.3617,1.1029948240505232
130,0.7999999999999999,13519.8203,14948.8203,1.095166088010697
140,0.7999999999999999,15680.293,17219.293,1.0884307262830089
150,0.7999999999999999,18000.3796,19649.3796,1.0825878043895016
160,0.7999999999999999,20479.3229,22238.3229,1.0774734717678165
170,0.7999999999999999,23119.1857,24988.1857,1.0729523145156594
180,0.7999999999999999,25919.9785,27898.9785,1.0689272598442945
190,0.7999999999999999,28879.8622,30968.8622,1.0653253870601422
200,0.7999999999999999,31998.8793,34197.8793,1.0620829060966728
210,0.7999999999999999,35279.6637,37588.6637,1.059143981124848
220,0.7999999999999999,38718.3185,41137.3185,1.0564739332542057
230,0.7999999999999999,42320.1821,44849.1821,1.054030321059425
240,0.7999999999999999,46079.733,48718.733,1.051792181099144
250,0.7999999999999999,50000.2133,52749.2133,1.0497311321860598
260,0.7999999999999999,54079.7007,56938.7007,1.0478287507387762
270,0.7999999999999999,58320.9737,61289.9737,1.0460651159992584
280,0.7999999999999999,62718.5306,65797.5306,1.0444296076962785
290,0.7999999999999999,67279.7353,70468.7353,1.0429038235406556
300,0.7999999999999999,71998.342,75297.342,1.04148089592428
310,0.7999999999999999,76882.347,80291.347,1.0401464668511764
320,0.7999999999999999,81920.5232,85439.5232,1.0388980988389431
330,0.7999999999999999,87120.3878,90749.3878,1.0377242466613739
340,0.7999999999999999,92480.7702,96219.7702,1.03661895923376
350,0.7999999999999999,97998.3924,101847.3924,1.0355776023848866
360,0.7999999999999999,103677.7549,107636.7549,1.034593210930583
370,0.7999999999999999,109521.9516,113590.9516,1.0336603358675813
380,0.7999999999999999,115518.7601,119697.7601,1.0327786077842604
390,0.7999999999999999,121680.9747,125969.9747,1.0319404347313694
400,0.7999999999999999,128000.345,132399.345,1.0311447761296904
410,0.7999999999999999,134480.3219,138989.3219,1.030387650813368
420,0.7999999999999999,141120.7893,145739.7893,1.0296663599289395
430,0.7999999999999999,147917.5961,152646.5961,1.0289792360174281
440,0.7999999999999999,154880.2558,159719.2558,1.0283221269327836
450,0.7999999999999999,161998.3066,166947.3066,1.0276949639806217
460,0.7999999999999999,169279.8049,174338.8049,1.0270944107818991
470,0.7999999999999999,176719.6111,181888.6111,1.026519613485398
480,0.7999999999999999,184319.9311,189598.9311,1.0259686244006396
490,0.7999999999999999,192078.9779,197467.9779,1.025440234732637
500,0.7999999999999999,200003.3232,205502.3232,1.0249322550879296
10,0.8999999999999999,89.967,198.967,1.9903268078465894
20,0.8999999999999999,359.9222,578.9222,1.523791449933697
30,0.8999999999999999,810.0309,1139.0309,1.3559392874714489
40,0.8999999999999999,1439.9312,1878.9312,1.2696071276826923
50,0.8999999999999999,2250.0238,2799.0238,1.216954276734006
60,0.8999999999999999,3239.9187,3898.9187,1.1815196234986032
70,0.8999999999999999,4410.2723,5179.2723,1.1560173027876006
80,0.8999999999999999,5760.1726,6639.1726,1.1368110250714165
90,0.8999999999999999,7290.1787,8279.1787,1.1218127685715795
100,0.8999999999999999,9000.1735,10099.1735,1.1097781267576932
110,0.8999999999999999,10890.0963,12099.0963,1.0999082162580704
120,0.8999999999999999,12960.1917,14279.1917,1.0916653232230533
130,0.8999999999999999,15209.5513,16638.5513,1.0846830506704586
140,0.8999999999999999,17639.976,19178.976,1.078684020720838
150,0.8999999999999999,20250.6177,21899.6177,1.07347816728118
160,0.8999999999999999,23039.7925,24798.7925,1.0689230302383093
170,0.8999999999999999,26009.1779,27878.1779,1.0648989057826754
180,0.8999999999999999,29161.3868,31140.3868,1.0613127120494523
190,0.8999999999999999,32488.6128,34577.6128,1.0581114018401663
200,0.8999999999999999,36000.3574,38199.3574,1.0552204492876085
210,0.8999999999999999,39690.2318,41999.2318,1.0526062106736933
220,0.8999999999999999,43560.6071,45979.6071,1.050227718290366
230,0.8999999999999999,47609.8036,50138.8036,1.0480562173545378
240,0.8999999999999999,51839.5498,54478.5498,1.046064146276472
250,0.8999999999999999,56250.2343,58999.2343,1.0442299050784645
260,0.8999999999999999,60838.6718,63697.6718,1.0425377495685593
270,0.8999999999999999,65610.767,68579.767,1.0409679504793865
280,0.8999999999999999,70561.5929,73640.5929,1.0395106869484296
290,0.8999999999999999,75691.2653,78880.2653,1.0381541421895748
300,0.8999999999999999,80999.6181,84298.6181,1.0368882421601437
310,0.8999999999999999,86490.1982,89899.1982,1.0357026834530891
320,0.8999999999999999,92160.4126,95679.4126,1.0345911086473678
330,0.8999999999999999,98010.1674,101639.1674,1.0335468210724237
340,0.8999999999999999,104038.7928,107777.7928,1.032564086140686
350,0.8999999999999999,110248.6446,114097.6446,1.0316369157384773
360,0.8999999999999999,116638.2931,120597.2931,1.0307611325314283
370,0.8999999999999999,123210.0762,127279.0762,1.029932009380004
380,0.8999999999999999,129961.2289,134140.2289,1.0291465719025454
390,0.8999999999999999,136890.2997,141179.2997,1.0284017445221239
400,0.8999999999999999,144000.8029,148399.8029,1.02769375183301
410,0.8999999999999999,151290.1988,155799.1988,1.0270203996594893
420,0.8999999999999999,158761.599,163380.599,1.0263786770982242
